"Nights","SunSets","SunRises","NightLength"
2016-06-17,2016-06-17 20:13:10,2016-06-18 03:38:02,07:25:00
2016-06-18,2016-06-18 20:13:31,2016-06-19 03:38:08,07:25:00
2016-06-19,2016-06-19 20:13:49,2016-06-20 03:38:18,07:24:00
2016-06-20,2016-06-20 20:14:04,2016-06-21 03:38:30,07:24:00
2016-06-21,2016-06-21 20:14:15,2016-06-22 03:38:45,07:24:00
2016-06-22,2016-06-22 20:14:24,2016-06-23 03:39:03,07:25:00
2016-06-23,2016-06-23 20:14:30,2016-06-24 03:39:24,07:25:00
2016-06-24,2016-06-24 20:14:33,2016-06-25 03:39:48,07:25:00
2016-06-25,2016-06-25 20:14:32,2016-06-26 03:40:15,07:26:00
2016-06-26,2016-06-26 20:14:29,2016-06-27 03:40:44,07:26:00
2016-06-27,2016-06-27 20:14:22,2016-06-28 03:41:16,07:27:00
2016-06-28,2016-06-28 20:14:12,2016-06-29 03:41:51,07:28:00
2016-06-29,2016-06-29 20:13:59,2016-06-30 03:42:29,07:28:00
2016-06-30,2016-06-30 20:13:43,2016-07-01 03:43:09,07:29:00
2016-07-01,2016-07-01 20:13:24,2016-07-02 03:43:52,07:30:00
2016-07-02,2016-07-02 20:13:02,2016-07-03 03:44:37,07:32:00
2016-07-03,2016-07-03 20:12:37,2016-07-04 03:45:24,07:33:00
2016-07-04,2016-07-04 20:12:09,2016-07-05 03:46:14,07:34:00
2016-07-05,2016-07-05 20:11:38,2016-07-06 03:47:07,07:35:00
2016-07-06,2016-07-06 20:11:04,2016-07-07 03:48:01,07:37:00
2016-07-07,2016-07-07 20:10:27,2016-07-08 03:48:58,07:39:00
2016-07-08,2016-07-08 20:09:47,2016-07-09 03:49:57,07:40:00
2016-07-09,2016-07-09 20:09:04,2016-07-10 03:50:58,07:42:00
2016-07-10,2016-07-10 20:08:19,2016-07-11 03:52:00,07:44:00
2016-07-11,2016-07-11 20:07:30,2016-07-12 03:53:05,07:46:00
2016-07-12,2016-07-12 20:06:39,2016-07-13 03:54:12,07:48:00
2016-07-13,2016-07-13 20:05:45,2016-07-14 03:55:20,07:50:00
2016-07-14,2016-07-14 20:04:48,2016-07-15 03:56:30,07:52:00
2016-07-15,2016-07-15 20:03:49,2016-07-16 03:57:42,07:54:00
2016-07-16,2016-07-16 20:02:47,2016-07-17 03:58:55,07:56:00
2016-07-17,2016-07-17 20:01:42,2016-07-18 04:00:10,07:58:00
2016-07-18,2016-07-18 20:00:35,2016-07-19 04:01:26,08:01:00
2016-07-19,2016-07-19 19:59:26,2016-07-20 04:02:44,08:03:00
2016-07-20,2016-07-20 19:58:14,2016-07-21 04:04:03,08:06:00
2016-07-21,2016-07-21 19:56:59,2016-07-22 04:05:23,08:08:00
2016-07-22,2016-07-22 19:55:43,2016-07-23 04:06:44,08:11:00
2016-07-23,2016-07-23 19:54:24,2016-07-24 04:08:06,08:14:00
2016-07-24,2016-07-24 19:53:02,2016-07-25 04:09:30,08:16:00
2016-07-25,2016-07-25 19:51:39,2016-07-26 04:10:54,08:19:00
2016-07-26,2016-07-26 19:50:14,2016-07-27 04:12:20,08:22:00
2016-07-27,2016-07-27 19:48:46,2016-07-28 04:13:46,08:25:00
2016-07-28,2016-07-28 19:47:16,2016-07-29 04:15:13,08:28:00
2016-07-29,2016-07-29 19:45:45,2016-07-30 04:16:40,08:31:00
2016-07-30,2016-07-30 19:44:11,2016-07-31 04:18:09,08:34:00
2016-07-31,2016-07-31 19:42:36,2016-08-01 04:19:38,08:37:00
2016-08-01,2016-08-01 19:40:59,2016-08-02 04:21:08,08:40:00
2016-08-02,2016-08-02 19:39:20,2016-08-03 04:22:38,08:43:00
2016-08-03,2016-08-03 19:37:39,2016-08-04 04:24:09,08:47:00
2016-08-04,2016-08-04 19:35:56,2016-08-05 04:25:40,08:50:00
2016-08-05,2016-08-05 19:34:12,2016-08-06 04:27:12,08:53:00
2016-08-06,2016-08-06 19:32:26,2016-08-07 04:28:44,08:56:00
2016-08-07,2016-08-07 19:30:39,2016-08-08 04:30:16,09:00:00
2016-08-08,2016-08-08 19:28:51,2016-08-09 04:31:49,09:03:00
2016-08-09,2016-08-09 19:27:00,2016-08-10 04:33:22,09:06:00
2016-08-10,2016-08-10 19:25:09,2016-08-11 04:34:56,09:10:00
2016-08-11,2016-08-11 19:23:16,2016-08-12 04:36:29,09:13:00
2016-08-12,2016-08-12 19:21:21,2016-08-13 04:38:03,09:17:00
2016-08-13,2016-08-13 19:19:26,2016-08-14 04:39:37,09:20:00
2016-08-14,2016-08-14 19:17:29,2016-08-15 04:41:11,09:24:00
2016-08-15,2016-08-15 19:15:31,2016-08-16 04:42:46,09:27:00
2016-08-16,2016-08-16 19:13:32,2016-08-17 04:44:20,09:31:00
2016-08-17,2016-08-17 19:11:32,2016-08-18 04:45:54,09:34:00
2016-08-18,2016-08-18 19:09:30,2016-08-19 04:47:29,09:38:00
2016-08-19,2016-08-19 19:07:28,2016-08-20 04:49:04,09:42:00
2016-08-20,2016-08-20 19:05:24,2016-08-21 04:50:38,09:45:00
2016-08-21,2016-08-21 19:03:20,2016-08-22 04:52:13,09:49:00
2016-08-22,2016-08-22 19:01:15,2016-08-23 04:53:48,09:53:00
2016-08-23,2016-08-23 18:59:09,2016-08-24 04:55:22,09:56:00
2016-08-24,2016-08-24 18:57:02,2016-08-25 04:56:57,10:00:00
2016-08-25,2016-08-25 18:54:54,2016-08-26 04:58:32,10:04:00
2016-08-26,2016-08-26 18:52:45,2016-08-27 05:00:07,10:07:00
2016-08-27,2016-08-27 18:50:36,2016-08-28 05:01:41,10:11:00
2016-08-28,2016-08-28 18:48:26,2016-08-29 05:03:16,10:15:00
2016-08-29,2016-08-29 18:46:15,2016-08-30 05:04:51,10:19:00
2016-08-30,2016-08-30 18:44:04,2016-08-31 05:06:25,10:22:00
2016-08-31,2016-08-31 18:41:52,2016-09-01 05:08:00,10:26:00
2016-09-01,2016-09-01 18:39:40,2016-09-02 05:09:35,10:30:00
2016-09-02,2016-09-02 18:37:27,2016-09-03 05:11:09,10:34:00
2016-09-03,2016-09-03 18:35:13,2016-09-04 05:12:44,10:38:00
2016-09-04,2016-09-04 18:32:59,2016-09-05 05:14:18,10:41:00
2016-09-05,2016-09-05 18:30:45,2016-09-06 05:15:53,10:45:00
2016-09-06,2016-09-06 18:28:30,2016-09-07 05:17:27,10:49:00
2016-09-07,2016-09-07 18:26:15,2016-09-08 05:19:02,10:53:00
2016-09-08,2016-09-08 18:23:59,2016-09-09 05:20:36,10:57:00
2016-09-09,2016-09-09 18:21:43,2016-09-10 05:22:11,11:00:00
2016-09-10,2016-09-10 18:19:27,2016-09-11 05:23:46,11:04:00
2016-09-11,2016-09-11 18:17:11,2016-09-12 05:25:20,11:08:00
2016-09-12,2016-09-12 18:14:54,2016-09-13 05:26:55,11:12:00
2016-09-13,2016-09-13 18:12:37,2016-09-14 05:28:29,11:16:00
2016-09-14,2016-09-14 18:10:20,2016-09-15 05:30:04,11:20:00
2016-09-15,2016-09-15 18:08:03,2016-09-16 05:31:39,11:24:00
2016-09-16,2016-09-16 18:05:46,2016-09-17 05:33:14,11:27:00
2016-09-17,2016-09-17 18:03:28,2016-09-18 05:34:49,11:31:00
2016-09-18,2016-09-18 18:01:11,2016-09-19 05:36:24,11:35:00
2016-09-19,2016-09-19 17:58:53,2016-09-20 05:37:59,11:39:00
2016-09-20,2016-09-20 17:56:36,2016-09-21 05:39:34,11:43:00
2016-09-21,2016-09-21 17:54:18,2016-09-22 05:41:10,11:47:00
2016-09-22,2016-09-22 17:52:01,2016-09-23 05:42:45,11:51:00
2016-09-23,2016-09-23 17:49:44,2016-09-24 05:44:21,11:55:00
2016-09-24,2016-09-24 17:47:27,2016-09-25 05:45:56,11:58:00
2016-09-25,2016-09-25 17:45:10,2016-09-26 05:47:32,12:02:00
2016-09-26,2016-09-26 17:42:53,2016-09-27 05:49:09,12:06:00
2016-09-27,2016-09-27 17:40:36,2016-09-28 05:50:45,12:10:00
2016-09-28,2016-09-28 17:38:20,2016-09-29 05:52:22,12:14:00
2016-09-29,2016-09-29 17:36:03,2016-09-30 05:53:58,12:18:00
2016-09-30,2016-09-30 17:33:48,2016-10-01 05:55:35,12:22:00
2016-10-01,2016-10-01 17:31:32,2016-10-02 05:57:12,12:26:00
2016-10-02,2016-10-02 17:29:17,2016-10-03 05:58:50,12:30:00
2016-10-03,2016-10-03 17:27:02,2016-10-04 06:00:28,12:33:00
2016-10-04,2016-10-04 17:24:48,2016-10-05 06:02:06,12:37:00
2016-10-05,2016-10-05 17:22:34,2016-10-06 06:03:44,12:41:00
2016-10-06,2016-10-06 17:20:21,2016-10-07 06:05:22,12:45:00
2016-10-07,2016-10-07 17:18:08,2016-10-08 06:07:01,12:49:00
2016-10-08,2016-10-08 17:15:55,2016-10-09 06:08:40,12:53:00
2016-10-09,2016-10-09 17:13:44,2016-10-10 06:10:20,12:57:00
2016-10-10,2016-10-10 17:11:33,2016-10-11 06:11:59,13:00:00
2016-10-11,2016-10-11 17:09:22,2016-10-12 06:13:39,13:04:00
2016-10-12,2016-10-12 17:07:12,2016-10-13 06:15:19,13:08:00
2016-10-13,2016-10-13 17:05:03,2016-10-14 06:17:00,13:12:00
2016-10-14,2016-10-14 17:02:55,2016-10-15 06:18:41,13:16:00
2016-10-15,2016-10-15 17:00:48,2016-10-16 06:20:22,13:20:00
2016-10-16,2016-10-16 16:58:41,2016-10-17 06:22:04,13:23:00
2016-10-17,2016-10-17 16:56:35,2016-10-18 06:23:45,13:27:00
2016-10-18,2016-10-18 16:54:31,2016-10-19 06:25:27,13:31:00
2016-10-19,2016-10-19 16:52:27,2016-10-20 06:27:10,13:35:00
2016-10-20,2016-10-20 16:50:24,2016-10-21 06:28:53,13:38:00
2016-10-21,2016-10-21 16:48:22,2016-10-22 06:30:35,13:42:00
2016-10-22,2016-10-22 16:46:21,2016-10-23 06:32:19,13:46:00
2016-10-23,2016-10-23 16:44:22,2016-10-24 06:34:02,13:50:00
2016-10-24,2016-10-24 16:42:23,2016-10-25 06:35:46,13:53:00
2016-10-25,2016-10-25 16:40:26,2016-10-26 06:37:30,13:57:00
2016-10-26,2016-10-26 16:38:30,2016-10-27 06:39:14,14:01:00
2016-10-27,2016-10-27 16:36:36,2016-10-28 06:40:58,14:04:00
2016-10-28,2016-10-28 16:34:42,2016-10-29 06:42:43,14:08:00
2016-10-29,2016-10-29 16:32:50,2016-10-30 06:44:27,14:12:00
2016-10-30,2016-10-30 16:31:00,2016-10-31 06:46:12,14:15:00
2016-10-31,2016-10-31 16:29:11,2016-11-01 06:47:57,14:19:00
2016-11-01,2016-11-01 16:27:24,2016-11-02 06:49:42,14:22:00
2016-11-02,2016-11-02 16:25:38,2016-11-03 06:51:27,14:26:00
2016-11-03,2016-11-03 16:23:53,2016-11-04 06:53:12,14:29:00
2016-11-04,2016-11-04 16:22:11,2016-11-05 06:54:57,14:33:00
2016-11-05,2016-11-05 16:20:30,2016-11-06 06:56:42,14:36:00
2016-11-06,2016-11-06 16:18:51,2016-11-07 06:58:27,14:40:00
2016-11-07,2016-11-07 16:17:14,2016-11-08 07:00:11,14:43:00
2016-11-08,2016-11-08 16:15:39,2016-11-09 07:01:55,14:46:00
2016-11-09,2016-11-09 16:14:05,2016-11-10 07:03:39,14:50:00
2016-11-10,2016-11-10 16:12:34,2016-11-11 07:05:23,14:53:00
2016-11-11,2016-11-11 16:11:04,2016-11-12 07:07:07,14:56:00
2016-11-12,2016-11-12 16:09:37,2016-11-13 07:08:50,14:59:00
2016-11-13,2016-11-13 16:08:12,2016-11-14 07:10:32,15:02:00
2016-11-14,2016-11-14 16:06:49,2016-11-15 07:12:14,15:05:00
2016-11-15,2016-11-15 16:05:29,2016-11-16 07:13:55,15:08:00
2016-11-16,2016-11-16 16:04:10,2016-11-17 07:15:36,15:11:00
2016-11-17,2016-11-17 16:02:55,2016-11-18 07:17:16,15:14:00
2016-11-18,2016-11-18 16:01:41,2016-11-19 07:18:55,15:17:00
2016-11-19,2016-11-19 16:00:30,2016-11-20 07:20:33,15:20:00
2016-11-20,2016-11-20 15:59:22,2016-11-21 07:22:11,15:23:00
2016-11-21,2016-11-21 15:58:16,2016-11-22 07:23:47,15:26:00
2016-11-22,2016-11-22 15:57:12,2016-11-23 07:25:22,15:28:00
2016-11-23,2016-11-23 15:56:12,2016-11-24 07:26:56,15:31:00
2016-11-24,2016-11-24 15:55:14,2016-11-25 07:28:29,15:33:00
2016-11-25,2016-11-25 15:54:19,2016-11-26 07:30:00,15:36:00
2016-11-26,2016-11-26 15:53:27,2016-11-27 07:31:30,15:38:00
2016-11-27,2016-11-27 15:52:37,2016-11-28 07:32:58,15:40:00
2016-11-28,2016-11-28 15:51:51,2016-11-29 07:34:25,15:43:00
2016-11-29,2016-11-29 15:51:08,2016-11-30 07:35:50,15:45:00
2016-11-30,2016-11-30 15:50:27,2016-12-01 07:37:14,15:47:00
2016-12-01,2016-12-01 15:49:50,2016-12-02 07:38:35,15:49:00
2016-12-02,2016-12-02 15:49:16,2016-12-03 07:39:54,15:51:00
2016-12-03,2016-12-03 15:48:45,2016-12-04 07:41:12,15:52:00
2016-12-04,2016-12-04 15:48:17,2016-12-05 07:42:27,15:54:00
2016-12-05,2016-12-05 15:47:53,2016-12-06 07:43:40,15:56:00
2016-12-06,2016-12-06 15:47:31,2016-12-07 07:44:51,15:57:00
2016-12-07,2016-12-07 15:47:13,2016-12-08 07:46:00,15:59:00
2016-12-08,2016-12-08 15:46:58,2016-12-09 07:47:06,16:00:00
2016-12-09,2016-12-09 15:46:47,2016-12-10 07:48:10,16:01:00
2016-12-10,2016-12-10 15:46:39,2016-12-11 07:49:11,16:03:00
2016-12-11,2016-12-11 15:46:34,2016-12-12 07:50:09,16:04:00
2016-12-12,2016-12-12 15:46:33,2016-12-13 07:51:05,16:05:00
2016-12-13,2016-12-13 15:46:35,2016-12-14 07:51:57,16:05:00
2016-12-14,2016-12-14 15:46:40,2016-12-15 07:52:47,16:06:00
2016-12-15,2016-12-15 15:46:49,2016-12-16 07:53:35,16:07:00
2016-12-16,2016-12-16 15:47:01,2016-12-17 07:54:19,16:07:00
2016-12-17,2016-12-17 15:47:17,2016-12-18 07:55:00,16:08:00
2016-12-18,2016-12-18 15:47:36,2016-12-19 07:55:38,16:08:00
2016-12-19,2016-12-19 15:47:58,2016-12-20 07:56:13,16:08:00
2016-12-20,2016-12-20 15:48:23,2016-12-21 07:56:44,16:08:00
2016-12-21,2016-12-21 15:48:52,2016-12-22 07:57:13,16:08:00
2016-12-22,2016-12-22 15:49:24,2016-12-23 07:57:38,16:08:00
